% group, behavior, feature, sample size, z-score
chrimson/+, not Jump, timestamps, 434,     446
npf/+, not Song, timestamps, 450,     402
npf>chrimson, not Song, timestamps, 303,     368
chrimson/+, not Song, timestamps, 394,     301
npf>chrimson, not Jump, timestamps, 887,     240
npf/+, not Chain_hadar, timestamps, 1161,     161
npf/+, not Jump, timestamps, 1214,     146
npf>chrimson, not Chain_hadar, timestamps, 1055,     143
chrimson/+, not Chain_hadar, timestamps, 1211,     142
chrimson/+, not Short_distance_Approach, timestamps, 2003,     114
npf/+, not Short_distance_Approach, timestamps, 2605,    89.6
chrimson/+, Jump, absdv_cor, 510,    89.5
npf/+, not Song, y, 450,    88.3
npf/+, not Song, x, 450,    87.5
npf>chrimson, not Short_distance_Approach, timestamps, 2509,    81.7
chrimson/+, Jump, dv_cor, 510,    81.4
npf>chrimson, not Song, x, 303,    79.8
npf>chrimson, not Song, y, 303,    79.2
chrimson/+, not Song, y, 394,    75.5
chrimson/+, Jump, flipdv_cor, 510,    73.6
chrimson/+, not Jump, y, 434,    72.3
chrimson/+, not Song, x, 394,    71.8
chrimson/+, not Jump, x, 434,      71
npf/+, not Song, arena_angle, 450,    67.6
chrimson/+, Jump, dv_ctr, 510,    64.3
npf>chrimson, not Jump, x, 887,    63.5
npf>chrimson, not Song, arena_angle, 303,    62.3
chrimson/+, not Song, arena_angle, 394,    61.5
npf>chrimson, not Jump, y, 887,    61.3
npf>chrimson, Jump, absdv_cor, 956,    59.4
chrimson/+, not Short_distance_Approach, x, 2003,    57.1
npf/+, Jump, absdv_cor, 1293,    56.6
chrimson/+, Jump, velmag, 510,    56.5
chrimson/+, not Short_distance_Approach, y, 2003,    56.2
chrimson/+, Jump, velmag_ctr, 510,    56.1
npf/+, not Jump, y, 1214,    55.7
chrimson/+, not Jump, arena_angle, 434,      55
chrimson/+, Jump, veltoward_anglesub, 510,    54.4
npf/+, not Social_Clustering, timestamps, 4627,    53.6
npf/+, not Jump, x, 1214,    53.4
npf/+, not Song, y_mm, 450,    52.9
npf/+, not Song, x_mm, 450,    52.3
npf>chrimson, Jump, dv_cor, 956,      52
npf/+, not Song, ynose_mm, 450,    51.8
chrimson/+, Jump, velmag_tail, 510,    51.3
npf/+, not Song, xnose_mm, 450,    51.3
npf/+, Jump, dv_cor, 1293,    51.3
npf/+, not Short_distance_Approach, y, 2605,    50.6
npf>chrimson, not Jump, arena_angle, 887,    50.1
chrimson/+, Jump, velmag_nose, 510,      50
npf/+, not Short_distance_Approach, x, 2605,    48.6
chrimson/+, Jump, veltoward_nose2ell, 510,    46.9
npf>chrimson, Jump, flipdv_cor, 956,    46.7
npf/+, not Jump, arena_angle, 1214,    46.6
npf/+, not Chain_hadar, y, 1161,      46
npf/+, not Chain_hadar, x, 1161,    45.7
npf/+, Jump, flipdv_cor, 1293,    45.2
chrimson/+, Jump, dv_tail, 510,      45
npf/+, not Jump, angle2wall, 1214,    44.9
npf>chrimson, not Chain_hadar, x, 1055,    44.6
chrimson/+, Jump, du_cor, 510,    44.1
npf>chrimson, not Chain_hadar, y, 1055,    43.6
chrimson/+, not Short_distance_Approach, arena_angle, 2003,    43.3
npf>chrimson, not Short_distance_Approach, y, 2509,    43.3
npf>chrimson, not Short_distance_Approach, x, 2509,    43.2
npf/+, Jump, dv_ctr, 1293,    43.1
chrimson/+, not Chain_hadar, x, 1211,      43
npf>chrimson, Jump, velmag_ctr, 956,    42.6
chrimson/+, not Jump, angle2wall, 434,    42.4
npf>chrimson, Jump, velmag, 956,    42.1
npf>chrimson, Jump, dv_ctr, 956,      42
chrimson/+, Jump, du_ctr, 510,    41.9
npf>chrimson, not Jump, angle2wall, 887,    41.4
chrimson/+, Jump, dtheta, 510,    41.2
npf/+, not Short_distance_Approach, arena_angle, 2605,    41.2
chrimson/+, not Chain_hadar, y, 1211,    41.1
chrimson/+, Song, corfrac_min, 469,    40.5
chrimson/+, Jump, du_tail, 510,    40.3
chrimson/+, Jump, dangle2wall, 510,    39.6
npf>chrimson, Jump, velmag_tail, 956,    39.3
npf/+, Jump, velmag_ctr, 1293,    39.2
npf>chrimson, not Song, y_mm, 303,      39
chrimson/+, Jump, magveldiff_nose2ell, 510,    38.8
npf/+, Song, corfrac_min, 527,    38.8
npf>chrimson, not Song, x_mm, 303,    38.8
npf>chrimson, Song, corfrac_min, 371,    38.6
npf>chrimson, not Song, ynose_mm, 303,    38.3
npf/+, Jump, velmag, 1293,    38.1
npf>chrimson, not Song, xnose_mm, 303,    37.9
npf/+, not Song, angle2wall, 450,    37.3
npf/+, Jump, velmag_tail, 1293,    37.1
npf>chrimson, Jump, veltoward_anglesub, 956,      37
chrimson/+, Jump, absdtheta, 510,    36.9
npf/+, not Chain_hadar, arena_angle, 1161,    36.9
chrimson/+, Jump, magveldiff_anglesub, 510,    36.8
npf>chrimson, not Social_Clustering, timestamps, 5862,    36.7
npf>chrimson, Jump, velmag_nose, 956,    36.5
chrimson/+, not Song, y_mm, 394,      36
npf/+, Jump, dv_tail, 1293,    35.9
npf>chrimson, Jump, dv_tail, 956,    35.7
npf>chrimson, Jump, dtheta, 956,    35.7
chrimson/+, not Jump, y_mm, 434,    35.4
npf>chrimson, not Jump, closestfly_nose2ell_angle_min30to30, 887,    35.3
chrimson/+, not Song, ynose_mm, 394,    35.2
npf/+, Jump, dtheta, 1293,    35.2
npf>chrimson, not Jump, closestfly_nose2ell_angle_min20to20, 887,    35.1
npf/+, Jump, veltoward_anglesub, 1293,    34.7
chrimson/+, not Jump, ynose_mm, 434,    34.7
npf/+, Jump, velmag_nose, 1293,    34.5
npf>chrimson, Jump, dangle2wall, 956,    34.5
chrimson/+, not Jump, x_mm, 434,    34.4
npf/+, Jump, absdtheta, 1293,    34.2
chrimson/+, not Song, x_mm, 394,      34
npf/+, not Song, closestfly_center, 450,    33.8
npf/+, Jump, dangle2wall, 1293,    33.8
chrimson/+, not Jump, xnose_mm, 434,    33.7
npf/+, not Jump, y_mm, 1214,    33.5
npf>chrimson, not Short_distance_Approach, arena_angle, 2509,    33.4
chrimson/+, not Song, xnose_mm, 394,    33.3
npf>chrimson, not Chain_hadar, arena_angle, 1055,    33.2
chrimson/+, Song, phisideways, 469,    33.1
npf/+, not Jump, ynose_mm, 1214,      33
chrimson/+, Jump, a, 510,      33
npf>chrimson, Jump, absdtheta, 956,    32.9
npf>chrimson, not Jump, closestfly_center, 887,    32.6
npf>chrimson, not Jump, theta, 887,    32.5
npf>chrimson, not Jump, theta_mm, 887,    32.5
npf/+, not Song, closestfly_nose2tail, 450,    32.4
npf>chrimson, Jump, du_cor, 956,    32.4
chrimson/+, Song, absphidiff_anglesub, 469,    32.4
npf/+, not Song, closestfly_nose2ell, 450,    32.3
npf>chrimson, not Song, angle2wall, 303,    32.2
chrimson/+, not Chain_hadar, arena_angle, 1211,    32.1
npf/+, not Song, theta, 450,    32.1
npf/+, not Song, theta_mm, 450,    32.1
npf/+, not Jump, x_mm, 1214,    32.1
chrimson/+, not Jump, theta, 434,      32
chrimson/+, not Jump, theta_mm, 434,      32
npf/+, not Song, closestfly_ell2nose, 450,    31.9
npf/+, not Song, closestfly_nose2ell_angle_30tomin30, 450,    31.9
npf/+, Chase_hadar, phisideways, 7833,    31.8
npf>chrimson, Song, phisideways, 371,    31.8
npf>chrimson, not Jump, closestfly_nose2ell_angle_30tomin30, 887,    31.8
npf>chrimson, not Jump, closestfly_nose2tail, 887,    31.7
chrimson/+, not Jump, closestfly_nose2ell_angle_min30to30, 434,    31.7
npf>chrimson, Jump, du_ctr, 956,    31.6
chrimson/+, not Jump, closestfly_nose2ell_angle_min20to20, 434,    31.6
npf/+, not Jump, xnose_mm, 1214,    31.5
npf>chrimson, not Jump, closestfly_nose2ell, 887,    31.5
chrimson/+, Chase_hadar, phisideways, 13799,    31.5
npf/+, not Jump, closestfly_nose2ell_angle_min20to20, 1214,    31.4
npf/+, not Jump, closestfly_nose2ell_angle_min30to30, 1214,    31.4
npf/+, Song, phisideways, 527,    31.2
npf/+, Jump, du_ctr, 1293,    31.1
npf>chrimson, Chase_hadar, phisideways, 10294,      31
npf>chrimson, not Jump, closestfly_ell2nose, 887,      31
npf/+, not Song, closestfly_nose2ell_angle_min30to30, 450,    30.9
npf/+, not Jump, theta, 1214,    30.9
npf/+, not Jump, theta_mm, 1214,    30.9
npf/+, Jump, du_cor, 1293,    30.8
npf/+, not Chase_hadar, timestamps, 7753,    30.7
npf/+, not Song, closestfly_nose2ell_angle_min20to20, 450,    30.6
chrimson/+, not Jump, closestfly_nose2tail, 434,    30.6
chrimson/+, not Jump, closestfly_center, 434,    30.5
npf/+, not Short_distance_Approach, y_mm, 2605,    30.4
npf>chrimson, not Song, closestfly_center, 303,    30.4
npf>chrimson, Jump, veltoward_nose2ell, 956,    30.3
npf/+, Song, absphidiff_anglesub, 527,    30.2
chrimson/+, not Jump, closestfly_nose2ell, 434,    30.2
npf/+, Jump, du_tail, 1293,    30.1
npf/+, not Short_distance_Approach, ynose_mm, 2605,    29.9
npf>chrimson, Jump, du_tail, 956,    29.9
npf>chrimson, Song, absphidiff_anglesub, 371,    29.8
chrimson/+, not Jump, closestfly_nose2ell_angle_30tomin30, 434,    29.7
chrimson/+, Jump, angle2wall, 510,    29.7
chrimson/+, Jump, ddist2wall, 510,    29.6
chrimson/+, not Jump, closestfly_ell2nose, 434,    29.4
npf>chrimson, not Jump, x_mm, 887,    29.4
npf/+, Jump, veltoward_nose2ell, 1293,    29.3
npf/+, Jump, ddist2wall, 1293,    29.3
npf/+, not Short_distance_Approach, x_mm, 2605,    29.3
chrimson/+, Song, absphidiff_nose2ell, 469,    29.2
npf>chrimson, not Song, closestfly_nose2tail, 303,      29
npf>chrimson, not Song, closestfly_nose2ell, 303,      29
npf>chrimson, not Song, closestfly_nose2ell_angle_30tomin30, 303,      29
npf>chrimson, not Jump, xnose_mm, 887,    28.9
npf>chrimson, Jump, magveldiff_nose2ell, 956,    28.8
npf>chrimson, not Song, closestfly_ell2nose, 303,    28.8
npf/+, not Short_distance_Approach, xnose_mm, 2605,    28.8
npf>chrimson, not Jump, y_mm, 887,    28.7
npf>chrimson, not Song, theta, 303,    28.5
npf>chrimson, not Song, theta_mm, 303,    28.5
npf>chrimson, not Jump, anglefrom1to2_anglesub, 887,    28.4
npf>chrimson, not Jump, closestfly_anglesub, 887,    28.2
npf>chrimson, not Jump, ynose_mm, 887,    28.1
chrimson/+, not Short_distance_Approach, closestfly_nose2ell, 2003,    27.9
npf/+, not Jump, closestfly_center, 1214,    27.8
npf/+, Chase_hadar, absphidiff_anglesub, 7833,    27.8
chrimson/+, not Song, angle2wall, 394,    27.8
npf/+, not Chain_hadar, y_mm, 1161,    27.7
npf>chrimson, not Song, closestfly_nose2ell_angle_min30to30, 303,    27.7
chrimson/+, not Short_distance_Approach, closestfly_nose2tail, 2003,    27.6
npf/+, not Jump, anglefrom1to2_anglesub, 1214,    27.6
chrimson/+, not Short_distance_Approach, closestfly_center, 2003,    27.6
npf/+, Song, absphidiff_nose2ell, 527,    27.5
npf/+, not Chain_hadar, x_mm, 1161,    27.5
chrimson/+, not Social_Clustering, timestamps, 7423,    27.5
chrimson/+, not Short_distance_Approach, closestfly_nose2ell_angle_min30to30, 2003,    27.4
npf/+, not Jump, closestfly_nose2tail, 1214,    27.3
chrimson/+, not Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2003,    27.3
npf/+, not Jump, closestfly_nose2ell, 1214,    27.3
npf/+, not Jump, closestfly_nose2ell_angle_30tomin30, 1214,    27.2
npf>chrimson, not Song, closestfly_nose2ell_angle_min20to20, 303,    27.2
npf/+, not Chain_hadar, ynose_mm, 1161,    27.2
chrimson/+, Chase_hadar, corfrac_min, 13799,    27.1
chrimson/+, not Short_distance_Approach, closestfly_ell2nose, 2003,    27.1
chrimson/+, not Short_distance_Approach, closestfly_nose2ell_angle_min20to20, 2003,      27
npf>chrimson, not Short_distance_Approach, closestfly_nose2ell, 2509,      27
npf/+, Chase_hadar, corfrac_min, 7833,      27
npf>chrimson, Song, absphidiff_nose2ell, 371,      27
npf>chrimson, Jump, magveldiff_anglesub, 956,      27
npf/+, not Chain_hadar, xnose_mm, 1161,      27
npf/+, not Short_distance_Approach, closestfly_nose2tail, 2605,      27
npf/+, not Jump, arena_r, 1214,    26.9
npf/+, not Jump, dist2wall, 1214,    26.9
npf/+, not Short_distance_Approach, closestfly_center, 2605,    26.8
npf/+, not Short_distance_Approach, closestfly_nose2ell, 2605,    26.8
npf>chrimson, not Short_distance_Approach, closestfly_center, 2509,    26.7
chrimson/+, not Jump, anglefrom1to2_anglesub, 434,    26.7
npf>chrimson, not Short_distance_Approach, closestfly_ell2nose, 2509,    26.6
npf/+, not Short_distance_Approach, angle2wall, 2605,    26.5
npf>chrimson, not Short_distance_Approach, closestfly_nose2tail, 2509,    26.5
npf>chrimson, not Jump, absthetadiff_nose2ell, 887,    26.5
chrimson/+, not Jump, closestfly_anglesub, 434,    26.5
npf/+, not Jump, closestfly_ell2nose, 1214,    26.5
npf/+, not Short_distance_Approach, closestfly_nose2ell_angle_min30to30, 2605,    26.4
npf/+, not Short_distance_Approach, closestfly_ell2nose, 2605,    26.3
chrimson/+, not Short_distance_Approach, x_mm, 2003,    26.2
npf>chrimson, not Short_distance_Approach, closestfly_nose2ell_angle_min30to30, 2509,    26.2
npf>chrimson, not Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2509,    26.1
chrimson/+, not Short_distance_Approach, y_mm, 2003,      26
npf/+, not Short_distance_Approach, closestfly_nose2ell_angle_min20to20, 2605,      26
npf/+, Chain_hadar, phisideways, 1241,    25.8
npf>chrimson, not Short_distance_Approach, closestfly_nose2ell_angle_min20to20, 2509,    25.8
npf/+, not Short_distance_Approach, closestfly_nose2ell_angle_30tomin30, 2605,    25.8
npf/+, not Jump, closestfly_anglesub, 1214,    25.7
chrimson/+, not Short_distance_Approach, xnose_mm, 2003,    25.7
npf/+, Chase_hadar, absphidiff_nose2ell, 7833,    25.6
npf/+, not Song, arena_r, 450,    25.6
npf/+, not Song, dist2wall, 450,    25.6
chrimson/+, not Short_distance_Approach, ynose_mm, 2003,    25.4
chrimson/+, Chase_hadar, absphidiff_anglesub, 13799,    25.3
npf>chrimson, Chase_hadar, absphidiff_anglesub, 10294,    25.3
chrimson/+, not Jump, absthetadiff_nose2ell, 434,    25.2
chrimson/+, Song, corfrac_maj, 469,    25.2
chrimson/+, Jump, danglesub, 510,    25.2
npf/+, Jump, magveldiff_nose2ell, 1293,    25.2
npf/+, not Short_distance_Approach, theta, 2605,    25.1
npf/+, not Short_distance_Approach, theta_mm, 2605,    25.1
npf>chrimson, not Short_distance_Approach, angle2wall, 2509,    24.9
npf/+, Jump, magveldiff_anglesub, 1293,    24.7
chrimson/+, Chain_hadar, phisideways, 1291,    24.7
npf>chrimson, Jump, ddist2wall, 956,    24.6
chrimson/+, not Song, closestfly_nose2ell_angle_30tomin30, 394,    24.5
chrimson/+, not Song, closestfly_center, 394,    24.4
npf>chrimson, Song, corfrac_maj, 371,    24.4
npf/+, Song, corfrac_maj, 527,    24.4
chrimson/+, Jump, b, 510,    24.3
npf/+, not Song, absthetadiff_nose2ell, 450,    24.1
npf>chrimson, Chase_hadar, corfrac_min, 10294,      24
npf/+, not Jump, absthetadiff_nose2ell, 1214,      24
npf/+, Chain_hadar, corfrac_min, 1241,      24
chrimson/+, Song, signdtheta, 469,      24
npf>chrimson, not Short_distance_Approach, theta, 2509,    23.9
npf>chrimson, not Short_distance_Approach, theta_mm, 2509,    23.9
npf/+, Chain_hadar, absphidiff_anglesub, 1241,    23.9
chrimson/+, not Short_distance_Approach, theta, 2003,    23.7
chrimson/+, not Short_distance_Approach, theta_mm, 2003,    23.7
chrimson/+, not Short_distance_Approach, angle2wall, 2003,    23.7
chrimson/+, not Song, closestfly_ell2nose, 394,    23.7
chrimson/+, not Song, closestfly_nose2tail, 394,    23.6
chrimson/+, not Song, closestfly_nose2ell, 394,    23.5
chrimson/+, not Jump, arena_r, 434,    23.4
chrimson/+, not Jump, dist2wall, 434,    23.4
npf>chrimson, Chain_hadar, phisideways, 1125,    23.4
chrimson/+, not Song, theta, 394,    23.3
chrimson/+, not Song, theta_mm, 394,    23.3
npf/+, not Song, closestfly_anglesub, 450,    23.2
npf/+, Chase_hadar, absyaw, 7833,    23.2
chrimson/+, Chase_hadar, absyaw, 13799,    23.2
npf>chrimson, Chase_hadar, absphidiff_nose2ell, 10294,    23.2
chrimson/+, not Long_Distance_Approach, timestamps, 9763,    23.1
npf>chrimson, not Short_distance_Approach, absthetadiff_nose2ell, 2509,    23.1
npf/+, Chain_hadar, absphidiff_nose2ell, 1241,    23.1
npf>chrimson, Chase_hadar, absyaw, 10294,      23
chrimson/+, Chase_hadar, absphidiff_nose2ell, 13799,      23
chrimson/+, not Song, closestfly_nose2ell_angle_min30to30, 394,    22.9
npf>chrimson, Chain_hadar, corfrac_min, 1125,    22.8
npf/+, Chase_hadar, yaw, 7833,    22.8
chrimson/+, Chain_hadar, corfrac_min, 1291,    22.7
chrimson/+, Chase_hadar, yaw, 13799,    22.7
chrimson/+, not Song, closestfly_nose2ell_angle_min20to20, 394,    22.7
chrimson/+, Song, absyaw, 469,    22.7
npf/+, Chase_hadar, phi, 7833,    22.6
npf>chrimson, Chase_hadar, yaw, 10294,    22.6
npf>chrimson, Song, signdtheta, 371,    22.6
chrimson/+, Chain_hadar, absphidiff_anglesub, 1291,    22.5
npf>chrimson, not Jump, absanglefrom1to2_nose2ell, 887,    22.4
chrimson/+, Song, phi, 469,    22.3
chrimson/+, not Short_distance_Approach, closestfly_anglesub, 2003,    22.2
npf>chrimson, Song, phi, 371,    22.1
npf/+, not Short_distance_Approach, absthetadiff_nose2ell, 2605,      22
npf>chrimson, Chain_hadar, absphidiff_anglesub, 1125,    21.9
npf>chrimson, not Short_distance_Approach, anglefrom1to2_anglesub, 2509,    21.9
npf/+, not Song, anglefrom1to2_anglesub, 450,    21.9
npf>chrimson, not Jump, absthetadiff_anglesub, 887,    21.8
npf>chrimson, Jump, phi, 956,    21.8
chrimson/+, Song, yaw, 469,    21.8
chrimson/+, Chain_hadar, absphidiff_nose2ell, 1291,    21.8
npf>chrimson, not Song, closestfly_anglesub, 303,    21.8
npf>chrimson, Chase_hadar, phi, 10294,    21.8
npf>chrimson, not Song, absthetadiff_nose2ell, 303,    21.7
chrimson/+, Chase_hadar, phi, 13799,    21.7
npf>chrimson, Song, absyaw, 371,    21.7
npf/+, not Short_distance_Approach, anglefrom1to2_anglesub, 2605,    21.7
npf/+, Turn, corfrac_min, 127105,    21.6
chrimson/+, not Short_distance_Approach, absthetadiff_nose2ell, 2003,    21.6
npf/+, Song, signdtheta, 527,    21.5
npf/+, not Song, absanglefrom1to2_nose2ell, 450,    21.5
npf>chrimson, not Short_distance_Approach, closestfly_anglesub, 2509,    21.4
npf>chrimson, not Short_distance_Approach, nflies_close, 2509,    21.4
npf>chrimson, Chain_hadar, absphidiff_nose2ell, 1125,    21.3
npf>chrimson, not Chain_hadar, x_mm, 1055,    21.3
npf/+, not Social_Clustering, y, 4627,    21.2
npf>chrimson, Song, yaw, 371,    21.2
chrimson/+, not Short_distance_Approach, anglefrom1to2_anglesub, 2003,    21.2
npf/+, not Short_distance_Approach, closestfly_anglesub, 2605,    21.1
chrimson/+, not Jump, absanglefrom1to2_nose2ell, 434,    21.1
npf>chrimson, not Chain_hadar, y_mm, 1055,      21
npf>chrimson, not Short_distance_Approach, absanglefrom1to2_nose2ell, 2509,    20.9
npf>chrimson, not Chain_hadar, xnose_mm, 1055,    20.9
npf/+, Song, absyaw, 527,    20.8
npf/+, not Jump, absanglefrom1to2_nose2ell, 1214,    20.8
npf/+, Song, phi, 527,    20.8
npf/+, not Short_distance_Approach, nflies_close, 2605,    20.7
npf>chrimson, not Chain_hadar, angle2wall, 1055,    20.7
npf>chrimson, not Short_distance_Approach, y_mm, 2509,    20.7
npf>chrimson, not Short_distance_Approach, x_mm, 2509,    20.6
npf>chrimson, Jump, angle2wall, 956,    20.6
npf/+, not Social_Clustering, x, 4627,    20.6
npf>chrimson, not Chain_hadar, ynose_mm, 1055,    20.5
chrimson/+, not Short_distance_Approach, nflies_close, 2003,    20.5
npf>chrimson, not Jump, anglefrom1to2_nose2ell, 887,    20.5
npf/+, Song, yaw, 527,    20.5
npf/+, not Chain_hadar, angle2wall, 1161,    20.5
npf/+, not Short_distance_Approach, absanglefrom1to2_nose2ell, 2605,    20.4
npf>chrimson, Turn, corfrac_min, 100753,    20.3
npf>chrimson, not Short_distance_Approach, ynose_mm, 2509,    20.3
npf>chrimson, not Song, anglefrom1to2_anglesub, 303,    20.3
npf>chrimson, not Short_distance_Approach, xnose_mm, 2509,    20.3
npf/+, Jump, phi, 1293,    20.2
npf/+, not Jump, absthetadiff_anglesub, 1214,    20.1
chrimson/+, not Chain_hadar, x_mm, 1211,    20.1
chrimson/+, Turn, corfrac_min, 115709,      20
chrimson/+, not Jump, anglefrom1to2_nose2ell, 434,    19.9
chrimson/+, not Short_distance_Approach, absanglefrom1to2_nose2ell, 2003,    19.9
npf/+, Turn, phisideways, 127105,    19.9
chrimson/+, not Jump, absthetadiff_anglesub, 434,    19.9
npf/+, not Jump, anglefrom1to2_nose2ell, 1214,    19.9
npf/+, Jump, b, 1293,    19.8
npf/+, not Song, b, 450,    19.8
chrimson/+, not Chain_hadar, xnose_mm, 1211,    19.6
npf/+, Chain_hadar, absyaw, 1241,    19.6
chrimson/+, not Song, absthetadiff_nose2ell, 394,    19.6
npf>chrimson, not Song, absanglefrom1to2_nose2ell, 303,    19.5
npf/+, Jump, a, 1293,    19.4
npf/+, Chain_hadar, yaw, 1241,    19.4
chrimson/+, not Chain_hadar, y_mm, 1211,    19.3
npf/+, Jump, corfrac_min, 1293,    19.3
chrimson/+, Chain_hadar, absyaw, 1291,    19.3
npf>chrimson, not Chase_hadar, timestamps, 10224,    19.3
npf/+, Jump, angle2wall, 1293,    19.3
npf>chrimson, not Short_distance_Approach, anglesub, 2509,    19.2
npf>chrimson, Jump, corfrac_min, 956,    19.2
npf/+, Chain_hadar, phi, 1241,    19.2
npf>chrimson, not Chain_hadar, closestfly_center, 1055,    19.2
chrimson/+, Chain_hadar, yaw, 1291,      19
npf/+, not Chase_hadar, y, 7753,      19
npf/+, not Chain_hadar, closestfly_center, 1161,    18.9
chrimson/+, not Chain_hadar, ynose_mm, 1211,    18.9
npf>chrimson, not Short_distance_Approach, anglefrom1to2_nose2ell, 2509,    18.8
chrimson/+, Chain_hadar, phi, 1291,    18.8
npf>chrimson, Chain_hadar, absyaw, 1125,    18.8
npf>chrimson, Chain_hadar, yaw, 1125,    18.7
npf/+, Chase_hadar, dphi, 7833,    18.6
chrimson/+, Chase_hadar, dphi, 13799,    18.5
npf>chrimson, Chase_hadar, dphi, 10294,    18.5
chrimson/+, not Jump, b, 434,    18.4
npf>chrimson, not Chain_hadar, closestfly_nose2ell, 1055,    18.4
chrimson/+, Jump, ddcenter, 510,    18.4
npf>chrimson, not Chain_hadar, closestfly_nose2tail, 1055,    18.4
npf>chrimson, Chain_hadar, phi, 1125,    18.4
chrimson/+, Song, dphi, 469,    18.4
npf/+, not Song, anglefrom1to2_nose2ell, 450,    18.4
chrimson/+, not Jump, angleonclosestfly, 434,    18.4
npf/+, Turn, absphidiff_anglesub, 127105,    18.3
npf>chrimson, not Chain_hadar, closestfly_ell2nose, 1055,    18.3
npf/+, not Chase_hadar, x, 7753,    18.3
npf>chrimson, not Chain_hadar, closestfly_nose2ell_angle_30tomin30, 1055,    18.3
npf>chrimson, not Chain_hadar, theta, 1055,    18.2
npf>chrimson, not Chain_hadar, theta_mm, 1055,    18.2
npf>chrimson, not Jump, angleonclosestfly, 887,    18.2
npf/+, not Short_distance_Approach, anglesub, 2605,    18.2
npf/+, not Chain_hadar, closestfly_nose2tail, 1161,    18.1
npf>chrimson, Turn, absphidiff_anglesub, 100753,    18.1
chrimson/+, not Long_Distance_Approach, x, 9763,      18
chrimson/+, not Short_distance_Approach, anglefrom1to2_nose2ell, 2003,      18
npf/+, not Short_distance_Approach, anglefrom1to2_nose2ell, 2605,      18
npf>chrimson, Turn, phisideways, 100753,    17.9
npf/+, not Chain_hadar, closestfly_nose2ell_angle_30tomin30, 1161,    17.9
chrimson/+, not Long_Distance_Approach, y, 9763,    17.9
npf/+, not Chain_hadar, theta, 1161,    17.9
npf/+, not Chain_hadar, theta_mm, 1161,    17.9
chrimson/+, Jump, corfrac_min, 510,    17.8
npf>chrimson, Short_distance_Approach, anglesub, 2579,    17.8
chrimson/+, Jump, phi, 510,    17.8
chrimson/+, Turn, phisideways, 115709,    17.7
chrimson/+, not Short_distance_Approach, anglesub, 2003,    17.7
npf/+, not Chain_hadar, closestfly_nose2ell, 1161,    17.7
npf>chrimson, not Song, nflies_close, 303,    17.7
npf/+, not Song, absthetadiff_anglesub, 450,    17.6
npf>chrimson, not Chain_hadar, closestfly_nose2ell_angle_min30to30, 1055,    17.5
npf/+, not Chain_hadar, closestfly_ell2nose, 1161,    17.5
chrimson/+, Jump, da, 510,    17.4
chrimson/+, not Song, arena_r, 394,    17.4
chrimson/+, not Song, dist2wall, 394,    17.4
npf/+, Turn, absphidiff_nose2ell, 127105,    17.3
chrimson/+, not Song, closestfly_anglesub, 394,    17.3
npf/+, not Song, anglesub, 450,    17.3
npf>chrimson, Turn, absphidiff_nose2ell, 100753,    17.3
npf>chrimson, Jump, absphidiff_nose2ell, 956,    17.2
npf/+, Turn, phi, 127105,    17.2
npf>chrimson, not Chain_hadar, closestfly_nose2ell_angle_min20to20, 1055,    17.2
npf>chrimson, not Short_distance_Approach, absthetadiff_anglesub, 2509,    17.2
chrimson/+, not Short_distance_Approach, absthetadiff_anglesub, 2003,    17.1
npf/+, not Chase_hadar, arena_angle, 7753,    17.1
chrimson/+, not Chase_hadar, timestamps, 13719,    17.1
chrimson/+, Turn, signdtheta, 115709,    17.1
npf>chrimson, not Short_distance_Approach, angleonclosestfly, 2509,    17.1
npf>chrimson, Jump, b, 956,    17.1
npf/+, not Song, nflies_close, 450,    17.1
npf/+, not Jump, b, 1214,      17
npf/+, not Chain_hadar, closestfly_nose2ell_angle_min30to30, 1161,      17
chrimson/+, Social_Clustering, corfrac_min, 7503,      17
npf>chrimson, not Song, anglesub, 303,    16.9
npf/+, Jump, absphidiff_nose2ell, 1293,    16.9
npf/+, not Chain_hadar, closestfly_nose2ell_angle_min20to20, 1161,    16.8
npf>chrimson, not Long_Distance_Approach, timestamps, 10454,    16.8
npf/+, not Short_distance_Approach, absthetadiff_anglesub, 2605,    16.8
chrimson/+, not Short_distance_Approach, angleonclosestfly, 2003,    16.7
npf>chrimson, Turn, phi, 100753,    16.6
npf/+, not Song, dcenter, 450,    16.6
npf>chrimson, Song, b, 371,    16.5
chrimson/+, not Song, anglefrom1to2_anglesub, 394,    16.5
npf>chrimson, not Jump, arena_r, 887,    16.5
npf>chrimson, not Jump, dist2wall, 887,    16.5
npf/+, not Song, dnose2tail, 450,    16.4
npf/+, not Short_distance_Approach, angleonclosestfly, 2605,    16.4
npf/+, Short_distance_Approach, anglesub, 2685,    16.4
chrimson/+, not Song, absanglefrom1to2_nose2ell, 394,    16.4
chrimson/+, Turn, absphidiff_anglesub, 115709,    16.4
chrimson/+, Turn, yaw, 115709,    16.4
npf>chrimson, Social_Clustering, corfrac_min, 5932,    16.4
npf/+, not Song, dnose2ell, 450,    16.4
npf/+, not Song, dell2nose, 450,    16.4
chrimson/+, Short_distance_Approach, anglesub, 2083,    16.4
chrimson/+, not Chain_hadar, angle2wall, 1211,    16.4
npf/+, Turn, signdtheta, 127105,    16.4
