"dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value","dir","file","value"
"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absanglefrom1to2_nose2ell.mat",1.75597049067186,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absdtheta.mat",1.53959806855285,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absphidiff_anglesub.mat",1.57512050931445,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absphidiff_nose2ell.mat",1.57497418148973,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absthetadiff_anglesub.mat",1.49344953314811,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","absthetadiff_nose2ell.mat",1.55183494334009,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","anglefrom1to2_anglesub.mat",-0.0402186341864788,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","anglefrom1to2_nose2ell.mat",-0.0745435584852459,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","anglesub.mat",0.30347360760162,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","danglesub.mat",-0.00013604328248052,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","dcenter.mat",13.0109062121956,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","ddcenter.mat",0.0111200542971177,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","dist2wall.mat",48.5580976230461,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","dphi.mat",0.0985044520486562,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","nflies_close.mat",0.988509385760302,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T101600","velmag.mat",6.15124157154561
"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absanglefrom1to2_nose2ell.mat",1.68789890774294,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absdtheta.mat",1.80984070889596,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absphidiff_anglesub.mat",1.56971519647584,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absphidiff_nose2ell.mat",1.56026340147047,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absthetadiff_anglesub.mat",1.52055695482972,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","absthetadiff_nose2ell.mat",1.5294035764618,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","anglefrom1to2_anglesub.mat",0.00393184238396173,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","anglefrom1to2_nose2ell.mat",0.0163133951688711,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","anglesub.mat",0.256393115046461,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","danglesub.mat",0.000944219826423901,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","dcenter.mat",16.4885724816198,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","ddcenter.mat",-0.0106735788116656,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","dist2wall.mat",40.3171495314398,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","dphi.mat",-0.0632047120939605,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","nflies_close.mat",0.717598044661704,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T102838","velmag.mat",9.99781862410685
"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absanglefrom1to2_nose2ell.mat",1.79801594473606,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absdtheta.mat",1.27188084372934,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absphidiff_anglesub.mat",1.50096429752644,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absphidiff_nose2ell.mat",1.4899599346955,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absthetadiff_anglesub.mat",1.38389516267823,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","absthetadiff_nose2ell.mat",1.37994542498174,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","anglefrom1to2_anglesub.mat",0.167199766838944,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","anglefrom1to2_nose2ell.mat",0.134192827201511,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","anglesub.mat",0.585003111539583,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","danglesub.mat",0.000772396958955605,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","dcenter.mat",11.1127146650443,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","ddcenter.mat",-0.0234790846786947,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","dist2wall.mat",54.1154342233844,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","dphi.mat",0.0256506495456788,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","nflies_close.mat",1.69676129103939,"D:/iska/starvation_16h_141222/10flies_16h/Assa_Males_starved16h_10flies_Unknown_RigA_20221214T104047","velmag.mat",5.87014267730041
